date,time,long,lat,mag
1905-02-17,11:41:08,97.17,23.689,7.26
1905-04-04,00:50:00,76.916,32.597,7.9
1905-07-09,09:40:40,98.483,49.709,7.95
1905-07-11,08:39:40,98.5,50.24,6.9
1905-07-14,22:02:04,99.124,49.77,6.86
1905-07-23,02:46:25,96.843,49.292,8.33
1905-07-23,20:35:05,96.215,49.35,6.19
1906-03-02,06:14:56,84.179,43.219,6.64
1906-03-16,22:42:26,120.51,23.56,6.89
1906-03-26,03:28:40,121.603,22.364,6.13
1906-04-13,19:17:49,120.463,23.598,6.99
1906-04-13,23:52:02,120.64,23.562,6.55
1906-05-12,05:48:45,94.522,26.228,6.51
1906-08-31,14:57:24,97.246,26.832,6.44
1906-11-12,17:32:24,81.979,41.635,6.48
1906-12-22,18:21:13,84.93,43.988,7.95
1907-09-15,17:45:42,71.614,39.31,6.27
1908-01-11,03:34:37,121.788,22.074,7.22
1908-02-09,18:13:18,100.637,29.405,6.82
1908-08-20,09:53:26,87.679,31.209,7.04
1908-12-12,12:54:58,96.866,26.639,7.17
1909-04-14,19:53:41,121.434,24.998,6.72
1909-07-07,21:37:52,70.357,36.324,7.7
1909-11-21,07:36:00,121.735,24.014,6.81
1910-01-08,14:49:25,122.011,34.066,6.59
1910-04-12,00:22:25,124.304,25.967,8.1
1910-06-17,05:28:08,120.673,22.505,6.29
1910-07-12,07:36:02,77.181,37.569,6.14
1910-09-01,00:44:30,121.617,20.741,6.99
1910-11-14,07:34:18,121.81,22.762,6.89
1911-01-03,23:25:50,76.808,42.919,8.02
1911-02-18,18:41:10,72.596,38.289,7.33
1911-03-24,03:18:55,121.189,24.04,6.08
1911-10-14,23:24:00,80.336,30.993,6.55
1912-05-23,02:24:04,96.859,21.031,7.88
1912-12-24,18:07:27,123.335,24.263,6.61
1913-01-07,22:51:17,122.457,24.106,6.66
1913-01-09,02:55:06,121.1,20.933,6.61
1913-03-06,02:08:53,87.368,32.811,6.31
1913-03-06,11:04:01,81.929,30.201,6.5
1913-04-14,07:48:24,122.073,23.827,6.34
1913-05-29,13:29:26,122.941,24.329,6.38
1913-12-15,17:43:24,122.95,23.469,6.31
1913-12-21,15:37:57,102.23,24.264,6.82
1914-03-28,10:44:48,96.356,25.438,6.47
1914-07-06,06:37:34,121.039,24.623,6.32
1914-08-04,22:41:44,91.616,43.227,7.42
1914-10-09,02:39:14,76.037,32.313,6.26
1915-02-28,18:59:12,123.668,23.582,7.21
1915-04-28,03:19:58,96.766,34.049,6.1
1915-04-30,01:45:02,100.876,43.903,6.35
1915-05-05,15:12:23,96.592,34.002,6.07
1915-12-03,02:39:24,91.752,27.844,6.56
1915-12-17,07:05:05,79.139,41.702,6.5
1915-12-31,18:50:53,84.223,43.523,5.96
1916-03-25,23:52:27,125.244,24.618,6.4
1916-06-21,19:56:25,78.171,35.586,5.72
1916-08-28,06:39:42,80.684,29.67,6.96
1916-08-28,07:27:06,122.258,21.855,6.96
1916-10-14,19:47:22,80.623,29.45,5.82
1916-11-14,22:31:42,120.432,23.839,6.39
1916-12-24,07:53:23,80.671,29.527,5.93
1917-01-04,16:50:07,120.832,24.09,6.5
1917-01-24,00:48:35,115.966,31.495,6.41
1917-04-12,02:55:26,94.19,24.435,6.21
1917-05-09,21:46:03,77.958,33.336,5.94
1917-07-04,05:36:36,125.647,25.575,6.77
1917-07-30,23:54:09,104.285,28.405,6.96
1917-07-31,06:59:31,89.204,45.824,5.98
1917-09-04,16:42:23,94.584,39.15,6.13
1918-02-04,17:54:51,94.7,36.856,6.1
1918-02-13,06:07:17,117.004,23.609,7.37
1918-05-04,06:06:12,120.041,21.569,6.37
1918-07-08,10:22:09,90.801,24.656,7.14
1918-12-01,02:35:20,72.767,38.389,6.64
1919-05-29,11:00:08,101.592,31.121,6.52
1919-07-24,02:03:33,75.703,39.268,6.66
1919-08-25,19:55:15,99.142,33.22,6.49
1919-12-20,19:34:06,121.845,22.779,6.78
1919-12-20,20:37:35,121.787,22.529,7.4
1920-05-02,08:28:07,90.442,35.92,6.27
1920-06-05,04:21:36,121.954,23.688,8.23
1920-09-20,23:35:31,93.35,45.373,6.02
1920-10-12,06:54:52,80.56,35.45,6.4
1920-10-20,10:02:22,122.083,24.359,6.92
1920-10-20,19:16:12,122.616,24.7,6.12
1920-12-16,12:05:55,105.619,36.87,8.3
1920-12-25,11:33:21,105.474,37.243,6.99
1920-12-28,03:16:43,105.424,37.418,6.08
1921-01-07,09:42:27,105.48,37.622,5.97
1921-03-30,10:26:32,90.659,22.384,6.4
1921-04-02,09:36:53,124.821,23.879,6.95
1921-04-12,09:36:05,100.953,36.826,6.21
1921-10-14,16:43:56,90.377,30.579,6.15
1921-11-15,20:36:44,70.676,36.199,7.8
1921-12-01,10:49:43,119.711,31.082,6.62
1922-04-07,15:58:20,120.326,22.94,6.07
1922-08-25,19:29:46,90.761,49.997,6.7
1922-09-01,19:16:07,121.937,24.218,7.59
1922-09-14,19:31:42,122.632,24.375,6.98
1922-09-16,22:44:46,122.446,24.445,6.72
1922-09-17,07:23:03,121.577,24.581,6.36
1922-09-17,09:59:27,121.567,24.497,6.64
1922-10-14,23:46:52,121.374,24.572,6.97
1922-10-16,16:01:39,89.66,39.055,6.53
1922-10-27,14:22:50,121.54,23.957,6.64
1922-12-02,03:46:54,121.063,24.43,6.45
1922-12-17,00:51:03,71.311,38.038,6.36
1923-03-24,12:40:18,100.75,31.295,7
1923-06-22,06:44:40,98.711,22.817,7.26
1923-07-02,02:31:56,123.046,23.069,6.58
1923-08-10,15:58:16,93.467,22.882,5.98
1923-09-09,22:03:47,90.752,24.969,6.92
1923-09-14,12:57:34,95.303,46.918,6.45
1923-09-21,20:01:30,87.834,50.033,5.91
1923-10-20,03:18:54,100.172,30.392,6.35
1923-11-18,21:29:31,122.331,23.979,6.58
1923-11-25,17:03:17,122.928,23.562,6.35
1924-07-03,04:40:13,84.186,36.981,7.32
1924-07-05,15:02:09,84.416,36.958,5.69
1924-07-06,18:31:54,73.371,40.293,6.52
1924-07-12,15:12:41,73.433,40.624,6.66
1924-07-22,14:23:54,121.881,23.589,6.93
1924-08-13,23:57:57,90.654,30.223,5.89
1924-09-16,02:36:03,70.67,39.069,6.23
1924-10-08,20:32:56,89.655,30.881,6.58
1925-02-07,18:18:12,122.399,24.201,5.81
1925-03-01,12:25:36,120.997,22.886,6.07
1925-03-16,14:42:18,100.395,25.653,6.86
1925-04-16,19:52:41,121.026,21.805,7.13
1925-05-24,01:24:28,121.627,23.803,6.3
1925-05-26,15:37:13,122.716,23.83,6.31
1925-06-14,05:38:15,121.687,23.911,5.98
1925-08-05,20:11:52,77.075,40.452,5.73
1925-08-31,09:58:14,90.317,33.027,6.12
1925-10-15,12:36:26,100.118,26.9,6.14
1925-12-07,08:34:28,76.852,37.366,6.15
1926-01-18,11:20:40,75.463,43.101,5.79
1926-02-15,23:11:45,122.487,24.534,5.78
1926-05-10,08:19:02,96.428,26.561,5.72
1926-06-04,06:51:02,89.616,34.77,6.23
1926-06-04,08:03:20,89.415,34.689,5.72
1926-06-06,06:49:19,88.851,34.153,5.44
1926-07-15,21:47:19,121.061,22.519,5.91
1926-07-27,07:23:49,80.826,29.598,5.73
1926-08-03,03:41:38,121.759,21.478,6.6
1926-08-06,12:06:50,122.936,23.958,6.07
1926-08-06,13:17:29,101.789,26.55,5.63
1926-08-06,15:52:10,124.714,24.216,6.31
1926-08-06,20:36:40,78.564,35.406,5.62
1926-08-06,22:45:56,78.724,35.311,6.22
1926-08-07,02:09:29,126.151,25.906,6.19
1926-08-07,09:37:00,126.027,26.573,5.84
1926-08-10,00:25:18,122.662,24.028,5.94
1926-08-11,05:47:40,101.293,29.559,5.74
1926-08-18,23:58:56,94.282,24.765,5.59
1926-08-20,03:08:42,124.91,22.802,5.73
1926-08-26,10:30:02,73.608,39.74,5.69
1926-09-09,01:33:11,126.326,26.069,5.84
1926-09-12,15:43:49,121.357,23.051,6.53
1926-10-23,14:30:27,92.822,24.366,5.67
1926-11-01,23:30:13,122.441,24.737,5.88
1926-11-21,11:14:49,96.62,24.94,5.77
1926-12-05,19:40:33,99.387,24.467,5.73
1927-01-03,22:09:59,121.122,22.654,5.84
1927-01-20,08:47:11,72.713,40.238,5.58
1927-01-30,08:54:09,70.31,30.422,5.96
1927-02-03,03:53:15,121.395,33.357,6.65
1927-02-03,04:52:13,121.558,33.245,6.44
1927-02-13,03:33:33,93.834,24.843,5.54
1927-03-14,17:37:43,102.781,25.589,5.99
1927-03-15,16:56:32,94.676,24.219,5.9
1927-03-15,21:48:41,97.457,38.396,6.16
1927-03-24,07:42:48,77.87,40.48,5.45
1927-04-30,13:56:54,77.463,38.671,6.24
1927-05-02,22:05:08,80.986,39.062,5.48
1927-05-22,21:43:18,102.688,36.687,5.69
1927-05-22,22:32:50,102.514,37.628,7.7
1927-05-23,02:45:54,103.344,37.51,6.01
1927-05-23,13:51:21,101.851,37.645,5.96
1927-05-23,23:45:06,101.753,37.59,5.84
1927-05-24,16:01:35,102.546,37.674,5.62
1927-06-02,16:37:32,81.894,23.446,6.08
1927-06-06,03:23:35,122.584,25.272,5.53
1927-06-09,11:36:47,120.468,22.068,5.48
1927-06-23,23:42:28,101.907,38.225,5.95
1927-07-02,20:39:05,102.016,31.133,5.61
1927-08-12,10:22:52,71.531,41.003,6.16
1927-08-12,16:16:53,71.769,41.126,5.72
1927-08-24,18:08:59,120.563,23.239,6.48
1927-09-23,13:54:20,84.19,42.468,6.42
1927-10-05,16:36:23,124.993,23.925,5.53
1927-10-08,10:34:37,80.686,29.662,5.77
1927-10-10,17:49:21,122.658,23.377,5.56
1927-10-12,06:27:51,123.551,24.332,5.99
1927-10-15,06:25:39,123.696,24.42,5.63
1927-10-29,01:24:56,74.861,38.969,5.74
1927-10-31,23:29:45,79.806,39.311,5.45
1927-11-05,06:37:49,124.146,24.636,5.86
1927-12-01,22:47:48,80.133,40.249,5.55
1928-01-05,14:09:19,78.71,43.18,5.82
1928-01-27,22:22:33,122.075,21.53,5.91
1928-02-23,09:20:40,121.788,21.128,5.68
1928-03-07,22:43:29,102.16,37.662,6.31
1928-03-30,01:01:27,71.978,41.784,5.46
1928-04-24,19:45:06,122.312,24.162,5.88
1928-04-25,01:16:45,73.56,38.362,5.48
1928-04-27,13:48:50,120.348,20.791,5.54
1928-07-09,15:47:57,95.096,26.692,5.5
1928-07-19,20:13:54,101.763,31.78,5.51
1928-08-23,03:53:42,73.339,42.086,5.87
1928-08-29,17:16:09,121.345,22.741,5.88
1928-08-30,06:31:08,121.181,22.878,5.98
1928-08-30,12:12:28,95.866,26.564,5.51
1928-09-01,06:09:05,70.409,28.934,6.45
1928-11-14,04:33:04,72.493,34.874,5.85
1928-12-13,03:05:24,81.82,44.646,5.62
