date,time,long,lat,mag
2008-05-12,06:28:00,103.396,30.98,7.91
2008-05-12,06:41:56,104.092,31.577,5.26
2008-05-12,06:48:59,105.331,32.431,5.29
2008-05-12,07:06:39,104.827,32.201,5.15
2008-05-12,07:07:32,104.98,32.296,5.15
2008-05-12,08:10:59,103.475,31.093,5.22
2008-05-12,08:21:40,104.158,31.499,5.98
2008-05-12,08:26:12,103.984,31.4,5.94
2008-05-12,08:47:24,105.126,32.218,5.8
2008-05-12,09:23:34,104.877,32.079,5.75
2008-05-12,11:11:02,103.627,31.218,6.09
2008-05-12,14:46:08,105.616,32.747,5.31
2008-05-12,15:05:30,103.752,31.258,5.22
2008-05-12,20:08:49,104.01,31.414,5.62
2008-05-12,23:54:48,103.552,31.246,5.07
2008-05-13,03:00:38,103.677,31.192,5.23
2008-05-13,07:07:08,103.271,30.866,5.77
2008-05-14,02:54:37,103.536,31.295,5.45
2008-05-14,21:01:08,104.136,31.603,5.32
2008-05-15,05:27:48,104.356,31.962,5.21
2008-05-16,05:25:48,103.437,31.317,5.63
2008-05-17,17:08:25,105.009,32.204,5.76
2008-05-19,04:08:58,105.123,32.193,5.18
2008-05-25,08:21:49,105.4,32.588,6.07
2008-05-25,09:34:09,104.982,33.074,5.17
2008-05-27,08:03:23,105.605,32.753,5.16
2008-05-27,08:37:53,105.57,32.76,5.48
2008-06-03,03:09:29,104.603,32.002,5.28
2008-07-24,07:09:30,105.551,32.789,5.57
2008-08-01,08:32:43,104.722,32.065,5.68
2008-08-05,09:49:17,105.589,32.767,5.97
2008-09-11,17:39:01,105.633,32.934,5.14
2008-11-04,12:43:14,104.502,32.081,5.17
2008-11-15,22:59:51,104.738,32.149,4.97
2008-12-29,06:18:24,105.144,32.299,5.23
2009-02-07,21:21:06,103.264,30.907,5.14
2009-03-03,16:21:49,104.928,31.817,5.26
2009-03-12,08:25:39,105.041,32.364,5.4
